t_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
181551,-9404,-4252,12828,-431,-17,-353,-9500,-2696,11920,-528,-210,-244
181571,-9376,-4204,12876,-351,-68,-330,-9400,-2732,11956,-536,-202,-216
181591,-9500,-4196,12864,-520,-35,-328,-9476,-2788,11948,-555,-220,-234
181611,-9368,-4224,12880,-489,-68,-358,-9468,-2816,11952,-556,-219,-234
181631,-9528,-4192,12996,-455,-73,-315,-9520,-2780,11952,-546,-198,-218
181651,-9536,-4144,12880,-406,-70,-403,-9448,-2744,11992,-536,-219,-214
181671,-9452,-4236,13036,-496,-28,-360,-9488,-2752,11856,-530,-209,-218
181691,-9368,-4276,12988,-454,-46,-364,-9472,-2760,11972,-538,-189,-222
181711,-9420,-4212,12884,-500,-58,-362,-9432,-2748,12028,-542,-224,-228
181731,-9456,-4084,12920,-409,-85,-295,-9464,-2888,12056,-534,-211,-238
181751,-9464,-4148,12972,-435,9,-339,-9436,-2868,12028,-525,-196,-203
181771,-9456,-4288,12896,-503,-4,-401,-9548,-2820,11864,-538,-192,-205
181791,-9388,-4160,12900,-508,-68,-363,-9484,-2732,11988,-542,-184,-217
181811,-9412,-4288,12972,-346,-59,-326,-9548,-2748,11960,-543,-197,-219
181831,-9536,-4100,13096,-478,-41,-349,-9464,-2852,11900,-529,-214,-236
181851,-9340,-4196,12932,-525,-35,-376,-9484,-2896,12004,-550,-203,-216
181871,-9504,-4192,13028,-441,-57,-339,-9500,-2740,11872,-522,-210,-217
181891,-9452,-4192,12872,-417,-40,-354,-9432,-2680,11872,-527,-221,-206
181911,-9424,-4240,12920,-447,-26,-352,-9416,-2780,11948,-517,-189,-209
181931,-9348,-4236,12880,-482,-57,-303,-9556,-2724,11904,-541,-200,-198
181951,-9412,-4280,12916,-457,-35,-371,-9428,-2828,11992,-523,-222,-226
181971,-9508,-4224,12976,-449,-57,-334,-9472,-2824,12024,-542,-202,-209
181991,-9432,-4204,12896,-447,-32,-353,-9512,-2748,11872,-549,-218,-221
182011,-9440,-4304,12956,-486,-47,-356,-9540,-2752,11996,-545,-188,-212
182031,-9416,-4180,13016,-434,-38,-352,-9564,-2904,11972,-545,-205,-231
182051,-9428,-4184,12900,-384,-60,-350,-9480,-2760,12000,-534,-191,-234
182071,-9400,-4212,12988,-498,-48,-354,-9580,-2768,11964,-534,-192,-198
182091,-9432,-4188,12992,-468,-56,-361,-9412,-2784,11956,-538,-191,-227
